因子,方向,净值
"interest_income_coverage,Stochastic_K_20,alpha150","true,false,true",4.623001575469970703125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_20,d_indicator_20,alpha150","false,false,true",4.976825237274169921875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,alpha150,涨跌幅_std_20","false,true,false",5.555443763732910156250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_10,k_indicator_20,alpha150","false,false,true",4.944072723388671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,d_indicator_20,alpha150","false,false,true",5.587575435638427734375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_20,d_indicator_20,alpha150","false,false,true",4.704477310180664062500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,peg,alpha150","false,false,true",4.668717861175537109375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,涨跌幅_std_10,涨跌幅_10","true,false,false",5.430035114288330078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,alpha150,涨跌幅_mean_20","false,true,false",4.887473106384277343750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,d_indicator_10,alpha150","false,false,true",4.688155174255371093750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_20,Popularity_Index_20,alpha150","false,true,true",4.606093883514404296875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_20,k_indicator_20,alpha150","false,false,true",4.710325717926025390625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,alpha150,涨跌幅_std_10","false,true,false",5.173904895782470703125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Popularity_Index_20,alpha150,涨跌幅_std_10","true,true,false",5.287824153900146484375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"j_indicator_20,alpha150,涨跌幅_std_10","false,true,false",4.785231590270996093750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_20,j_indicator_20,alpha150","false,false,true",4.792174816131591796875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Volume_Ratio_20,涨跌幅_10,alpha150","false,false,true",4.711876392364501953125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_5,涨跌幅_10,alpha150","false,false,true",4.591818809509277343750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_mean_10,alpha150,涨跌幅_std_10","false,true,false",5.048390865325927734375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,alpha150,涨跌幅_mean_10","false,true,false",4.770418167114257812500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,k_indicator_10,alpha150","false,false,true",4.682548522949218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_10,d_indicator_20,alpha150","false,false,true",4.746502399444580078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,profit_margin,涨跌幅_20","true,true,false",5.522862434387207031250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_20,profit_margin,alpha150","false,true,true",4.642990589141845703125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"j_indicator_20,Volume_Ratio_20,alpha150","false,false,true",4.986828327178955078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,Stochastic_K_20,alpha150","false,false,true",5.266244888305664062500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"profit_margin,alpha150,涨跌幅_mean_20","true,true,false",5.771531105041503906250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,Stochastic_K_20,alpha150","false,false,true",5.411347389221191406250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_10,amplitude_10,alpha150","false,false,true",4.754987716674804687500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,eri_high_10,d_indicator_20","true,false,false",4.971299171447753906250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_std_20,j_indicator_20,alpha150","false,false,true",5.207509040832519531250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_20,k_indicator_20,alpha150","false,false,true",4.648006439208984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,bais_20,alpha150","false,false,true",4.753345966339111328125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,bais_10,alpha150","false,false,true",4.707565784454345703125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_10,alpha150,涨跌幅_std_10","false,true,false",4.955724239349365234375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_10,profit_margin,alpha150","false,true,true",4.683108329772949218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_5,j_indicator_20,涨跌幅_std_20","true,false,false",4.879883766174316406250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"profit_margin,alpha150,d_indicator_20","true,true,false",4.752154827117919921875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_10,alpha150,涨跌幅_std_20","false,true,false",4.971948146820068359375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_10,emv_20,alpha150","false,false,true",5.080531597137451171875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Stochastic_K_20,alpha150,涨跌幅_std_10","false,true,false",4.905146121978759765625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_10,bais_20,alpha150","false,false,true",4.624320507049560546875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Volume_Ratio_20,alpha150,涨跌幅_mean_10","false,true,false",5.041779994964599609375000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_20,emv_20,alpha150","false,false,true",4.980249404907226562500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,涨跌幅_20,alpha150","false,false,true",5.173141479492187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"j_indicator_5,j_indicator_20,涨跌幅_std_20","true,false,false",4.715667724609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"j_indicator_20,alpha150,涨跌幅_mean_10","false,true,false",4.673104286193847656250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"amplitude_10,alpha150,eri_low_20","false,true,false",4.792846202850341796875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_10,j_indicator_20,alpha150","false,false,true",5.230624198913574218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"emv_10,j_indicator_20,alpha150","false,false,true",4.628246784210205078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
