因子,方向,净值
"eri_high_20,pb_ratio","false,false",4.618832111358642578125000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_5,alpha150","false,true",4.011454582214355468750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_10,alpha150","false,true",4.656916141510009765625000000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_20,alpha150","false,true",4.894102096557617187500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"interest_income_coverage,alpha150","true,true",3.684771776199340820312500000000000000000000000000000000000000000000000000000000000000000000000000000000
"alpha150,d_indicator_20","true,false",4.303484916687011718750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,成交额_std_10","false,true",3.700178384780883789062500000000000000000000000000000000000000000000000000000000000000000000000000000000
"pb_ratio,Popularity_Index_20","false,true",3.628856897354125976562500000000000000000000000000000000000000000000000000000000000000000000000000000000
"成交额_std_10,涨跌幅_mean_20","true,false",3.620596885681152343750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"turnover_rate_5,k_indicator_20","true,false",3.559659004211425781250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"bais_20,alpha150","false,true",4.951166152954101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_low_20,alpha150","false,true",4.184150218963623046875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"pb_ratio,涨跌幅_mean_20","false,false",3.646103143692016601562500000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,pb_ratio","false,false",4.133982658386230468750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_20,amplitude_20","false,false",3.734921693801879882812500000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_10,alpha150","false,true",4.451642036437988281250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"k_indicator_20,涨跌幅_std_20","false,false",3.530153512954711914062500000000000000000000000000000000000000000000000000000000000000000000000000000000
"Stochastic_K_20,alpha150","false,true",4.467360973358154296875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"d_indicator_5,alpha150","false,true",3.789874076843261718750000000000000000000000000000000000000000000000000000000000000000000000000000000000
"eri_high_10,pb_ratio","false,false",3.670124053955078125000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"pb_ratio,涨跌幅_10","false,false",3.626523017883300781250000000000000000000000000000000000000000000000000000000000000000000000000000000000
"成交额_mean_5,涨跌幅_mean_20","true,false",3.657010316848754882812500000000000000000000000000000000000000000000000000000000000000000000000000000000
"成交额_std_5,d_indicator_10","true,false",3.904532909393310546875000000000000000000000000000000000000000000000000000000000000000000000000000000000
"j_indicator_20,alpha150","false,true",4.762750625610351562500000000000000000000000000000000000000000000000000000000000000000000000000000000000
"Stochastic_K_20,涨跌幅_mean_20","false,false",3.555195093154907226562500000000000000000000000000000000000000000000000000000000000000000000000000000000
"涨跌幅_10,alpha150","false,true",3.972497940063476562500000000000000000000000000000000000000000000000000000000000000000000000000000000000
