因子,方向,净值
eri_high_5,true,1.054012656211853027343750000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_low_10,false,2.125201463699340820312500000000000000000000000000000000000000000000000000000000000000000000000000000000
fund_size_neutral,true,1.356365919113159179687500000000000000000000000000000000000000000000000000000000000000000000000000000000
new_on_balance_volume,false,1.164061784744262695312500000000000000000000000000000000000000000000000000000000000000000000000000000000
k_indicator_5,true,1.329466223716735839843750000000000000000000000000000000000000000000000000000000000000000000000000000000
close,true,1.103724002838134765625000000000000000000000000000000000000000000000000000000000000000000000000000000000
emv_5,true,1.460531711578369140625000000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_high_20,false,2.137612342834472656250000000000000000000000000000000000000000000000000000000000000000000000000000000000
Stochastic_K_20,false,2.077959537506103515625000000000000000000000000000000000000000000000000000000000000000000000000000000000
k_indicator_20,true,0.763917207717895507812500000000000000000000000000000000000000000000000000000000000000000000000000000000
k_indicator_20,false,2.253576040267944335937500000000000000000000000000000000000000000000000000000000000000000000000000000000
k_indicator_10,false,1.569815158843994140625000000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_high_5,false,1.614684700965881347656250000000000000000000000000000000000000000000000000000000000000000000000000000000
k_indicator_10,true,1.113974571228027343750000000000000000000000000000000000000000000000000000000000000000000000000000000000
d_indicator_5,false,1.568114280700683593750000000000000000000000000000000000000000000000000000000000000000000000000000000000
d_indicator_10,false,1.960233688354492187500000000000000000000000000000000000000000000000000000000000000000000000000000000000
d_indicator_5,true,0.901907324790954589843750000000000000000000000000000000000000000000000000000000000000000000000000000000
d_indicator_10,true,0.828773319721221923828125000000000000000000000000000000000000000000000000000000000000000000000000000000
d_indicator_20,false,2.975624084472656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
j_indicator_10,true,1.404040455818176269531250000000000000000000000000000000000000000000000000000000000000000000000000000000
j_indicator_5,true,1.756527900695800781250000000000000000000000000000000000000000000000000000000000000000000000000000000000
j_indicator_5,false,1.243831872940063476562500000000000000000000000000000000000000000000000000000000000000000000000000000000
j_indicator_20,false,1.647843599319458007812500000000000000000000000000000000000000000000000000000000000000000000000000000000
j_indicator_10,false,1.580682635307312011718750000000000000000000000000000000000000000000000000000000000000000000000000000000
j_indicator_20,true,0.880709528923034667968750000000000000000000000000000000000000000000000000000000000000000000000000000000
d_indicator_20,true,0.720759510993957519531250000000000000000000000000000000000000000000000000000000000000000000000000000000
investment_income_coverage,false,2.447848796844482421875000000000000000000000000000000000000000000000000000000000000000000000000000000000
interest_income_coverage,true,1.504557847976684570312500000000000000000000000000000000000000000000000000000000000000000000000000000000
investment_income_coverage,true,1.009251594543457031250000000000000000000000000000000000000000000000000000000000000000000000000000000000
profit_margin,true,1.498763799667358398437500000000000000000000000000000000000000000000000000000000000000000000000000000000
interest_income_coverage,false,1.474562764167785644531250000000000000000000000000000000000000000000000000000000000000000000000000000000
profit_margin,false,1.270754814147949218750000000000000000000000000000000000000000000000000000000000000000000000000000000000
peg,true,1.471214294433593750000000000000000000000000000000000000000000000000000000000000000000000000000000000000
peg,false,2.111089706420898437500000000000000000000000000000000000000000000000000000000000000000000000000000000000
eps,false,2.577022075653076171875000000000000000000000000000000000000000000000000000000000000000000000000000000000
eps,true,1.978801369667053222656250000000000000000000000000000000000000000000000000000000000000000000000000000000
roa,false,2.056828022003173828125000000000000000000000000000000000000000000000000000000000000000000000000000000000
expense_coverage_ratio,true,1.539777040481567382812500000000000000000000000000000000000000000000000000000000000000000000000000000000
roa,true,1.641720652580261230468750000000000000000000000000000000000000000000000000000000000000000000000000000000
expense_coverage_ratio,false,1.376371860504150390625000000000000000000000000000000000000000000000000000000000000000000000000000000000
debt_to_equity_ratio,false,1.656225085258483886718750000000000000000000000000000000000000000000000000000000000000000000000000000000
debt_to_equity_ratio,true,1.628823399543762207031250000000000000000000000000000000000000000000000000000000000000000000000000000000
roe,true,1.641720652580261230468750000000000000000000000000000000000000000000000000000000000000000000000000000000
roe,false,2.056828022003173828125000000000000000000000000000000000000000000000000000000000000000000000000000000000
pb_ratio,false,1.777956128120422363281250000000000000000000000000000000000000000000000000000000000000000000000000000000
pe_ratio,true,1.490268945693969726562500000000000000000000000000000000000000000000000000000000000000000000000000000000
pb_ratio,true,1.055683493614196777343750000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_low_10,true,0.914504289627075195312500000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_low_20,true,1.186449289321899414062500000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_low_20,false,2.078819036483764648437500000000000000000000000000000000000000000000000000000000000000000000000000000000
pe_ratio,false,2.440624237060546875000000000000000000000000000000000000000000000000000000000000000000000000000000000000
emv_5,false,2.038509130477905273437500000000000000000000000000000000000000000000000000000000000000000000000000000000
Volume_Ratio_20,false,2.239720582962036132812500000000000000000000000000000000000000000000000000000000000000000000000000000000
Stochastic_K_20,true,0.801236689090728759765625000000000000000000000000000000000000000000000000000000000000000000000000000000
Volume_Ratio_20,true,0.981328964233398437500000000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_high_20,true,1.107319235801696777343750000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_high_10,true,1.160198688507080078125000000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_high_10,false,1.745316982269287109375000000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_low_5,true,1.099652290344238281250000000000000000000000000000000000000000000000000000000000000000000000000000000000
eri_low_5,false,1.486590981483459472656250000000000000000000000000000000000000000000000000000000000000000000000000000000
