因子,方向
"['new_on_balance_volume', 'fund_size_neutral']","['true', 'true']"
"['new_on_balance_volume', 'eri_high_5']","['true', 'false']"
"['new_on_balance_volume', 'eri_high_10']","['true', 'false']"
"['new_on_balance_volume', 'eri_high_20']","['true', 'false']"
"['new_on_balance_volume', 'eri_low_5']","['true', 'false']"
"['new_on_balance_volume', 'eri_low_10']","['true', 'false']"
"['new_on_balance_volume', 'eri_low_20']","['true', 'false']"
"['new_on_balance_volume', 'emv_5']","['true', 'false']"
"['new_on_balance_volume', 'emv_10']","['true', 'false']"
"['new_on_balance_volume', 'emv_20']","['true', 'false']"
"['new_on_balance_volume', 'amplitude_5']","['true', 'false']"
"['new_on_balance_volume', 'amplitude_10']","['true', 'false']"
"['new_on_balance_volume', 'amplitude_20']","['true', 'false']"
"['new_on_balance_volume', 'turnover_rate_5']","['true', 'true']"
"['new_on_balance_volume', 'turnover_rate_10']","['true', 'true']"
"['new_on_balance_volume', 'turnover_rate_20']","['true', 'true']"
"['new_on_balance_volume', 'k_indicator_5']","['true', 'true']"
"['new_on_balance_volume', 'k_indicator_10']","['true', 'false']"
"['new_on_balance_volume', 'k_indicator_20']","['true', 'false']"
"['new_on_balance_volume', 'd_indicator_5']","['true', 'false']"
"['new_on_balance_volume', 'd_indicator_10']","['true', 'false']"
"['new_on_balance_volume', 'd_indicator_20']","['true', 'false']"
"['new_on_balance_volume', 'j_indicator_5']","['true', 'true']"
"['new_on_balance_volume', 'j_indicator_10']","['true', 'false']"
"['new_on_balance_volume', 'j_indicator_20']","['true', 'false']"
"['new_on_balance_volume', 'investment_income_coverage']","['true', 'false']"
"['new_on_balance_volume', 'interest_income_coverage']","['true', 'true']"
"['new_on_balance_volume', 'profit_margin']","['true', 'true']"
"['new_on_balance_volume', 'peg']","['true', 'false']"
"['new_on_balance_volume', 'eps']","['true', 'false']"
"['new_on_balance_volume', 'expense_coverage_ratio']","['true', 'true']"
"['new_on_balance_volume', 'roa']","['true', 'false']"
"['new_on_balance_volume', 'debt_to_equity_ratio']","['true', 'false']"
"['new_on_balance_volume', 'roe']","['true', 'false']"
"['new_on_balance_volume', 'pb_ratio']","['true', 'false']"
"['new_on_balance_volume', 'pe_ratio']","['true', 'false']"
"['new_on_balance_volume', '成交额_std_5']","['true', 'true']"
"['new_on_balance_volume', 'Stochastic_K_20']","['true', 'false']"
"['new_on_balance_volume', 'Volume_Ratio_20']","['true', 'false']"
"['new_on_balance_volume', 'MeanAmplitude_5']","['true', 'false']"
"['new_on_balance_volume', '成交额_mean_5']","['true', 'true']"
"['new_on_balance_volume', 'On_balance_value']","['true', 'false']"
"['new_on_balance_volume', 'Popularity_Index_20']","['true', 'true']"
"['new_on_balance_volume', 'K线长度_max_20']","['true', 'true']"
"['new_on_balance_volume', '成交额_std_10']","['true', 'true']"
"['new_on_balance_volume', 'bais_5']","['true', 'true']"
"['new_on_balance_volume', 'bais_10']","['true', 'false']"
"['new_on_balance_volume', 'bais_20']","['true', 'false']"
"['new_on_balance_volume', '涨跌幅_10']","['true', 'false']"
"['new_on_balance_volume', '涨跌幅_20']","['true', 'false']"
"['new_on_balance_volume', '量价相关系数_10']","['true', 'false']"
"['new_on_balance_volume', 'alpha150']","['true', 'true']"
"['new_on_balance_volume', '涨跌幅_std_5']","['true', 'false']"
"['new_on_balance_volume', '涨跌幅_std_10']","['true', 'false']"
"['new_on_balance_volume', '涨跌幅_std_20']","['true', 'false']"
"['new_on_balance_volume', '涨跌幅_mean_10']","['true', 'false']"
"['new_on_balance_volume', '涨跌幅_mean_20']","['true', 'false']"
"['new_on_balance_volume', 'close']","['true', 'false']"
"['fund_size_neutral', 'eri_high_5']","['true', 'false']"
"['fund_size_neutral', 'eri_high_10']","['true', 'false']"
"['fund_size_neutral', 'eri_high_20']","['true', 'false']"
"['fund_size_neutral', 'eri_low_5']","['true', 'false']"
"['fund_size_neutral', 'eri_low_10']","['true', 'false']"
"['fund_size_neutral', 'eri_low_20']","['true', 'false']"
"['fund_size_neutral', 'emv_5']","['true', 'false']"
"['fund_size_neutral', 'emv_10']","['true', 'false']"
"['fund_size_neutral', 'emv_20']","['true', 'false']"
"['fund_size_neutral', 'amplitude_5']","['true', 'false']"
"['fund_size_neutral', 'amplitude_10']","['true', 'false']"
"['fund_size_neutral', 'amplitude_20']","['true', 'false']"
"['fund_size_neutral', 'turnover_rate_5']","['true', 'true']"
"['fund_size_neutral', 'turnover_rate_10']","['true', 'true']"
"['fund_size_neutral', 'turnover_rate_20']","['true', 'true']"
"['fund_size_neutral', 'k_indicator_5']","['true', 'true']"
"['fund_size_neutral', 'k_indicator_10']","['true', 'false']"
"['fund_size_neutral', 'k_indicator_20']","['true', 'false']"
"['fund_size_neutral', 'd_indicator_5']","['true', 'false']"
"['fund_size_neutral', 'd_indicator_10']","['true', 'false']"
"['fund_size_neutral', 'd_indicator_20']","['true', 'false']"
"['fund_size_neutral', 'j_indicator_5']","['true', 'true']"
"['fund_size_neutral', 'j_indicator_10']","['true', 'false']"
"['fund_size_neutral', 'j_indicator_20']","['true', 'false']"
"['fund_size_neutral', 'investment_income_coverage']","['true', 'false']"
"['fund_size_neutral', 'interest_income_coverage']","['true', 'true']"
"['fund_size_neutral', 'profit_margin']","['true', 'true']"
"['fund_size_neutral', 'peg']","['true', 'false']"
"['fund_size_neutral', 'eps']","['true', 'false']"
"['fund_size_neutral', 'expense_coverage_ratio']","['true', 'true']"
"['fund_size_neutral', 'roa']","['true', 'false']"
"['fund_size_neutral', 'debt_to_equity_ratio']","['true', 'false']"
"['fund_size_neutral', 'roe']","['true', 'false']"
"['fund_size_neutral', 'pb_ratio']","['true', 'false']"
"['fund_size_neutral', 'pe_ratio']","['true', 'false']"
"['fund_size_neutral', '成交额_std_5']","['true', 'true']"
"['fund_size_neutral', 'Stochastic_K_20']","['true', 'false']"
"['fund_size_neutral', 'Volume_Ratio_20']","['true', 'false']"
"['fund_size_neutral', 'MeanAmplitude_5']","['true', 'false']"
"['fund_size_neutral', '成交额_mean_5']","['true', 'true']"
"['fund_size_neutral', 'On_balance_value']","['true', 'false']"
"['fund_size_neutral', 'Popularity_Index_20']","['true', 'true']"
"['fund_size_neutral', 'K线长度_max_20']","['true', 'true']"
"['fund_size_neutral', '成交额_std_10']","['true', 'true']"
"['fund_size_neutral', 'bais_5']","['true', 'true']"
"['fund_size_neutral', 'bais_10']","['true', 'false']"
"['fund_size_neutral', 'bais_20']","['true', 'false']"
"['fund_size_neutral', '涨跌幅_10']","['true', 'false']"
"['fund_size_neutral', '涨跌幅_20']","['true', 'false']"
"['fund_size_neutral', '量价相关系数_10']","['true', 'false']"
"['fund_size_neutral', 'alpha150']","['true', 'true']"
"['fund_size_neutral', '涨跌幅_std_5']","['true', 'false']"
"['fund_size_neutral', '涨跌幅_std_10']","['true', 'false']"
"['fund_size_neutral', '涨跌幅_std_20']","['true', 'false']"
"['fund_size_neutral', '涨跌幅_mean_10']","['true', 'false']"
"['fund_size_neutral', '涨跌幅_mean_20']","['true', 'false']"
"['fund_size_neutral', 'close']","['true', 'false']"
"['eri_high_5', 'eri_high_10']","['false', 'false']"
"['eri_high_5', 'eri_high_20']","['false', 'false']"
"['eri_high_5', 'eri_low_5']","['false', 'false']"
